Wall time,Step,Value
1732700521.1945233,4,0.3594578802585602
1732700521.470838,5,0.1217973530292511
1732700521.70619,6,0.04435237497091293
1732700522.3235776,7,0.032004181295633316
1732700522.6690807,8,0.018326411023736
1732700523.121168,9,0.011886321008205414
1732700524.0038683,10,0.00667875399813056
1732700524.4877021,11,0.08926492184400558
1732700525.2622979,12,0.04008447378873825
1732700525.63843,13,0.022305794060230255
1732700525.9791644,14,0.028170280158519745
1732700526.3449414,15,0.03980304300785065
1732700526.6917183,16,0.03661224991083145
1732700527.2352974,17,0.032022662460803986
1732700527.5795732,18,0.02894800528883934
1732700528.449227,19,0.02903609722852707
1732700528.8247757,20,0.025520652532577515
1732700529.18726,21,0.17984861135482788
1732700529.6735291,22,0.12849366664886475
1732700530.3815007,23,0.04924369230866432
1732700530.720666,24,0.08784453570842743
1732700531.0293112,25,0.0668613538146019
1732700531.4129865,26,0.08330310136079788
1732700531.9082115,27,0.08879530429840088
1732700532.518609,28,0.08336471766233444
1732700533.0740921,29,0.08481952548027039
1732700534.188858,30,0.031210539862513542
1732700534.594628,31,0.1834995001554489
1732700535.1638734,32,0.17427577078342438
1732700536.7727704,33,0.07604838162660599
1732700538.3710916,34,0.048711858689785004
1732700539.247918,35,0.054469265043735504
1732700539.9654725,36,0.07322478294372559
1732700540.8300452,37,0.08949394524097443
1732700541.5526078,38,0.0483153760433197
1732700542.0069938,39,0.0520193874835968
1732700542.786629,40,0.08186110854148865
1732700543.8675382,41,0.060163553804159164
1732700544.3072157,42,0.11587939411401749
1732700545.5945175,43,0.06252772361040115
1732700546.0710864,44,0.0809922069311142
1732700546.4472992,45,0.06409120559692383
1732700547.6895714,46,0.0658150166273117
1732700548.1367452,47,0.08174805343151093
1732700549.7320957,48,0.07809529453516006
1732700550.1390853,49,0.13246262073516846
1732700550.9259691,50,0.0672404021024704
1732700552.1885934,51,0.10425689071416855
1732700554.1752915,52,0.08176130056381226
1732700555.9485412,53,0.12453775107860565
1732700557.8738165,54,0.14170217514038086
1732700559.438882,55,0.16103941202163696
1732700561.5581608,56,0.0780658945441246
1732700564.1627731,57,0.07910529524087906
1732700565.8743777,58,0.056715723127126694
1732700567.1592717,59,0.10365209728479385
1732700570.0964956,60,0.12000760436058044
1732700577.205999,61,0.11429768800735474
1732700581.0221794,62,0.11673684418201447
1732700582.5779324,63,0.12862709164619446
1732700583.779672,64,0.12513503432273865
1732700585.7862864,65,0.07693681120872498
1732700587.829902,66,0.057052627205848694
1732700591.2390087,67,0.05460317060351372
1732700594.1040215,68,0.14252227544784546
1732700598.2424653,69,0.050043389201164246
1732700601.2558887,70,0.11686563491821289
1732700604.1018374,71,0.15288124978542328
1732700608.0475428,72,0.1512768417596817
1732700613.4752238,73,0.05627477914094925
1732700614.8097272,74,0.17417973279953003
1732700616.70997,75,0.09155777096748352
1732700618.609834,76,0.07235921174287796
1732700620.4677138,77,0.148523211479187
1732700622.2414913,78,0.12076357007026672
1732700623.9695451,79,0.1458984613418579
1732700626.524807,80,0.08526012301445007
1732700629.0742724,81,0.16423583030700684
1732700632.82673,82,0.07101353257894516
1732700635.2627292,83,0.06076497212052345
1732700639.2168553,84,0.09240400791168213
1732700645.0769534,85,0.09901830554008484
1732700648.5016158,86,0.17794328927993774
1732700650.8327634,87,0.10808628797531128
1732700654.0231183,88,0.1050175279378891
