Wall time,Step,Value
1732695685.143499,0,16.0
1732695685.2073245,1,34.0
1732695685.2294664,2,13.0
1732695685.2702103,3,20.0
1732695685.6465366,4,48.0
1732695689.2347732,5,59.0
1732695690.242017,6,20.0
1732695692.8297634,7,43.0
1732695694.1293337,8,26.0
1732695695.9656441,9,31.0
1732695696.9726436,10,21.0
1732695697.6474695,11,13.0
1732695698.533147,12,17.0
1732695699.8515759,13,26.0
1732695701.782958,14,31.0
1732695703.192086,15,18.0
1732695704.693998,16,25.0
1732695707.4718058,17,37.0
1732695709.2549243,18,27.0
1732695711.0943146,19,27.0
1732695712.185632,20,17.0
1732695713.3371055,21,21.0
1732695716.494715,22,40.0
1732695719.0525627,23,23.0
1732695720.9227254,24,22.0
1732695726.3256576,25,88.0
1732695728.712864,26,45.0
1732695732.1639004,27,61.0
1732695732.9404001,28,16.0
1732695733.880082,29,16.0
1732695734.6463826,30,15.0
1732695735.7746012,31,23.0
1732695739.3144345,32,70.0
1732695741.5954983,33,38.0
1732695743.9357133,34,42.0
1732695746.596245,35,46.0
1732695748.9574547,36,29.0
1732695751.439305,37,40.0
1732695753.28762,38,34.0
1732695755.7733028,39,43.0
1732695757.9282486,40,39.0
1732695760.5087945,41,38.0
1732695763.1020203,42,43.0
1732695765.571546,43,45.0
1732695768.428228,44,46.0
1732695771.3490243,45,47.0
1732695774.5126917,46,53.0
1732695777.014451,47,47.0
1732695780.726758,48,68.0
1732695782.4762802,49,33.0
1732695785.9660747,50,66.0
1732695789.6745367,51,70.0
1732695794.7271676,52,97.0
1732695801.547698,53,122.0
1732695806.9436119,54,98.0
1732695811.2560952,55,75.0
1732695817.0040786,56,101.0
1732695819.6514642,57,43.0
1732695825.5907378,58,91.0
1732695830.1460643,59,82.0
1732695834.7748468,60,65.0
1732695842.265339,61,124.0
1732695844.985193,62,43.0
1732695852.0119097,63,111.0
1732695865.6749578,64,241.0
1732695872.4545183,65,110.0
1732695878.9299884,66,107.0
1732695883.7854872,67,81.0
1732695888.7156448,68,87.0
1732695892.6994653,69,75.0
1732695901.5434234,70,178.0
1732695905.3413632,71,75.0
1732695910.44241,72,96.0
1732695915.6413648,73,101.0
1732695920.9332476,74,92.0
1732695926.31453,75,94.0
1732695936.2054982,76,194.0
1732695942.1434467,77,111.0
1732695950.56042,78,156.0
1732695957.5915253,79,129.0
1732695965.2271593,80,144.0
1732695976.3563461,81,186.0
1732695986.8834708,82,195.0
1732695995.9638531,83,156.0
1732696004.7208219,84,131.0
1732696019.392489,85,252.0
1732696028.1647894,86,150.0
1732696031.8118103,87,69.0
1732696038.560555,88,129.0
1732696046.4044237,89,154.0
1732696053.3374653,90,133.0
1732696061.2370217,91,152.0
1732696069.2607002,92,152.0
1732696077.4254138,93,156.0
