Wall time,Step,Value
1732707422.1465724,0,16.0
1732707422.1777935,1,34.0
1732707422.1777935,2,13.0
1732707422.1938293,3,20.0
1732707422.225083,4,40.0
1732707422.711447,5,18.0
1732707423.804173,6,40.0
1732707424.292682,7,19.0
1732707425.9079945,8,58.0
1732707426.6001916,9,25.0
1732707427.5159452,10,33.0
1732707427.8234975,11,12.0
1732707428.1064065,12,12.0
1732707429.8194516,13,62.0
1732707430.9125452,14,39.0
1732707431.5244274,15,26.0
1732707432.0735333,16,19.0
1732707432.6064456,17,19.0
1732707433.225173,18,22.0
1732707433.6486495,19,16.0
1732707434.1834602,20,21.0
1732707434.5440495,21,15.0
1732707435.0780993,22,21.0
1732707435.6691236,23,19.0
1732707436.2533898,24,20.0
1732707436.7139342,25,18.0
1732707437.1872833,26,18.0
1732707437.5956395,27,17.0
1732707437.9564042,28,15.0
1732707438.9300065,29,36.0
1732707439.948208,30,37.0
1732707440.4128242,31,17.0
1732707440.820977,32,17.0
1732707441.2761636,33,18.0
1732707441.8265984,34,20.0
1732707442.4742866,35,20.0
1732707442.9611597,36,18.0
1732707443.3493195,37,14.0
1732707443.8261375,38,19.0
1732707444.1811428,39,15.0
1732707444.5426018,40,14.0
1732707444.997799,41,17.0
1732707446.1963446,42,42.0
1732707446.7083702,43,20.0
1732707447.431462,44,30.0
1732707449.0993521,45,61.0
1732707450.2882364,46,46.0
1732707451.5542326,47,47.0
1732707453.4804049,48,75.0
1732707454.6510975,49,42.0
1732707455.4835722,50,29.0
1732707455.8737056,51,15.0
1732707456.9574306,52,39.0
1732707458.160888,53,43.0
1732707458.6315868,54,18.0
1732707459.7220552,55,45.0
1732707460.8621325,56,41.0
1732707462.0017002,57,44.0
1732707464.2247021,58,80.0
1732707465.9518628,59,66.0
1732707468.1081839,60,76.0
1732707470.4892068,61,90.0
1732707471.7805336,62,49.0
1732707474.884693,63,115.0
1732707477.3220675,64,90.0
1732707483.4128883,65,227.0
1732707484.5271268,66,45.0
1732707487.0271802,67,89.0
1732707488.3137336,68,49.0
1732707492.0084052,69,135.0
1732707493.27733,70,49.0
1732707497.2869105,71,149.0
1732707500.3464057,72,117.0
1732707501.242532,73,30.0
1732707502.0796654,74,28.0
1732707504.2752783,75,84.0
1732707507.526793,76,123.0
1732707512.2468946,77,180.0
1732707513.9105985,78,65.0
1732707517.0369968,79,108.0
1732707518.5155327,80,52.0
1732707524.7667232,81,233.0
1732707528.6151617,82,147.0
1732707531.1681561,83,95.0
1732707535.1420944,84,155.0
1732707539.076874,85,145.0
1732707543.4809904,86,165.0
1732707547.8147273,87,167.0
1732707552.4287083,88,166.0
1732707555.8872955,89,131.0
1732707561.749184,90,220.0
1732707568.5834446,91,256.0
1732707570.4037411,92,71.0
1732707574.3231003,93,145.0
1732707581.7099767,94,280.0
1732707591.8472254,95,389.0
1732707597.3320882,96,204.0
1732707603.8035433,97,236.0
1732707617.009385,98,511.0
1732707623.1498818,99,225.0
1732707629.706538,100,247.0
1732707634.3476222,101,169.0
1732707637.9905503,102,132.0
1732707642.7541318,103,165.0
1732707650.7029295,104,300.0
1732707653.0239663,105,88.0
1732707667.462799,106,568.0
1732707668.2469711,107,27.0
1732707683.8727667,108,599.0
1732707691.1042075,109,264.0
1732707695.5078442,110,171.0
1732707707.9624412,111,481.0
1732707714.9437668,112,271.0
1732707719.5235858,113,162.0
1732707723.756659,114,159.0
1732707730.1041012,115,240.0
1732707740.7004914,116,400.0
1732707744.9712474,117,148.0
1732707748.964918,118,152.0
1732707753.754085,119,180.0
1732707758.1493948,120,147.0
1732707762.4510052,121,164.0
1732707768.2028244,122,212.0
1732707777.8008938,123,368.0
1732707783.2660956,124,197.0
1732707788.0753317,125,185.0
1732707793.7726955,126,210.0
1732707798.0809307,127,156.0
1732707804.6200087,128,239.0
1732707810.6423185,129,226.0
1732707815.5113137,130,179.0
1732707819.0278137,131,134.0
1732707822.7441626,132,137.0
1732707826.788594,133,141.0
1732707830.846625,134,154.0
1732707835.4297826,135,176.0
1732707839.737722,136,149.0
